Symbol,Name,Sector,Industry,Country,Market_Cap
05M.F,"DALI FOODS GROUP  HD -,01",Consumer Defensive,Packaged Foods,China,Mid Cap
0YX.F,SYSMEX CORP.,Healthcare,Medical Instruments & Supplies,Japan,Large Cap
0YX0.F,SYSMEX CORP.UNSP.ADR 1/2,Healthcare,Medical Instruments & Supplies,Japan,Large Cap
2M7C.F,CHINA M.SYS.H.CONS.DL-005,Healthcare,Drug Manufacturers—Specialty & Generic,Hong Kong,Mid Cap
3IB.F,INDO TAMBANGR.MEGA.RP 500,Energy,Thermal Coal,Indonesia,Mid Cap
3KY.F,"HANSOH PHARMAC. HD-,00001",Healthcare,Drug Manufacturers—Specialty & Generic,China,Large Cap
3R2.F,RICHELIEU HARDWARE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Canada,Small Cap
4B5.F,PENDAL GROUP LTD,Financial Services,Asset Management,Australia,Small Cap
4HQ.F,"WANT WANT CH.HLDGS DL-,02",Consumer Defensive,Packaged Foods,Hong Kong,Mid Cap
50J.F,"KANGJI MED.HLDS DL-,00001",Healthcare,Medical Instruments & Supplies,China,Small Cap
5HZ1.F,HANGZHOU TIGERMED CO. H 1,Healthcare,Diagnostics & Research,China,Large Cap
5JB.F,"JUMBO S.A.  EO 0,88",Consumer Cyclical,Specialty Retail,Greece,Small Cap
5JB1.F,JUMBO SA UNSP.ADR/1 O.N.,Consumer Cyclical,Specialty Retail,Greece,Small Cap
6SN.F,NAKANISHI INC.,Healthcare,Medical Instruments & Supplies,Japan,Small Cap
6X5.F,MARUWA CO. LTD.,Technology,Electronic Components,Japan,Small Cap
6XT.F,ASAHI INTECC CO. LTD.,Healthcare,Medical Instruments & Supplies,Japan,Mid Cap
7M1.F,MIPS AB O.N.,Consumer Cyclical,Leisure,Sweden,Small Cap
7NX.F,NEXON CO. LTD,Communication Services,Electronic Gaming & Multimedia,Japan,Large Cap
8PO.F,POLA ORBIS HLDGS INC.,Consumer Defensive,Household & Personal Products,Japan,Mid Cap
9CB.F,CALBEE INC.,Consumer Defensive,Packaged Foods,Japan,Mid Cap
9EL.F,ELECOM CO. LTD,Technology,Computer Hardware,Japan,Small Cap
A1B.F,"ASHMORE GRP PLC LS-,0001",Financial Services,Asset Management,United Kingdom,Small Cap
AQE.F,ANHUI CONCH CEMENT  H YC1,Basic Materials,Building Materials,China,Large Cap
BC51.F,B.MEXICANA DE VAL.CL.A ON,Financial Services,Financial Data & Stock Exchanges,Mexico,Small Cap
BI5.F,BROTHER IND.,Industrials,Business Equipment & Supplies,Japan,Mid Cap
BLZ.F,BURE EQUITY NPV,Financial Services,Asset Management,Sweden,Small Cap
C44.F,CHIN.RES CEMENT HLD (NEW),Basic Materials,Building Materials,Hong Kong,Mid Cap
CPK.F,CAPCOM CO.LTD,Communication Services,Electronic Gaming & Multimedia,Japan,Mid Cap
CVG.F,CSPC PHARMACEUT.GR.,Healthcare,Drug Manufacturers—General,China,Large Cap
CVGU.F,CSPC PHARMACEUT.GR. ADR4,Healthcare,Drug Manufacturers—General,China,Large Cap
DA9.F,DTS CORP.,Technology,Information Technology Services,Japan,Small Cap
EB9.F,"AFRICAN RAINB.MINL.RC-,05",Basic Materials,Other Industrial Metals & Mining,South Africa,Mid Cap
EW3.F,"ENCORE WIRE CORP.  DL-,01",Industrials,Electrical Equipment & Parts,United States,Mid Cap
FB20.F,META PLATFORMS INC. CDR,Communication Services,Internet Content & Information,United States,Large Cap
FB2A.F,"META PLATF.  A DL-,000006",Communication Services,Internet Content & Information,United States,Large Cap
FEX.F,FERREXPO PLC,Basic Materials,Steel,Switzerland,Small Cap
FEX0.F,FERREXPO PLC UNSP.ADR/4,Basic Materials,Steel,Switzerland,Small Cap
FPE.F,FUCHS PETROLUB NA ST O.N.,Basic Materials,Specialty Chemicals,Germany,Mid Cap
G03.F,GUNGHO ONLINE ENTMT,Communication Services,Electronic Gaming & Multimedia,Japan,Small Cap
HDJA.F,"JANUS HENDERSON DL 1,50",Financial Services,Asset Management,United Kingdom,Mid Cap
HS0.F,HOSHIZAKI CORP.,Industrials,Specialty Industrial Machinery,Japan,Mid Cap
HYB.F,HOYA CORP.,Healthcare,Medical Instruments & Supplies,Japan,Large Cap
HYB0.F,HOYA CORP. ADR/ 1 O.N.,Healthcare,Medical Instruments & Supplies,Japan,Large Cap
IKF.F,CHINA SHENHUA EN. H  YC 1,Energy,Thermal Coal,China,Large Cap
IKFC.F,CHINA SHENHUA EN.A  ADR/4,Energy,Thermal Coal,China,Large Cap
JSY.F,JUSTSYSTEMS CORP,Technology,Software—Infrastructure,Japan,Small Cap
KEE.F,KEYENCE CORP.,Technology,Scientific & Technical Instruments,Japan,Large Cap
KKC.F,KAKAKU.COM INC.,Communication Services,Internet Content & Information,Japan,Mid Cap
KOY.F,KOBAYASHI PHARMACEUT.,Consumer Defensive,Household & Personal Products,Japan,Mid Cap
KU1.F,KULICKE + SOFFA IND.,Technology,Semiconductor Equipment & Materials,Singapore,Mid Cap
LNL.F,LI NING CO.LTD UNS.ADR/25,Consumer Cyclical,Leisure,China,Large Cap
LNLB.F,"LI NING CO.LTD NEW HD-,10",Consumer Cyclical,Leisure,China,Large Cap
MS3.F,MISUMI GROUP INC.,Industrials,Tools & Accessories,Japan,Mid Cap
MUD.F,"MUELLER INDS INC.  DL-,01",Industrials,Metal Fabrication,United States,Mid Cap
MUR.F,MURATA MFG CO. UNSP.ADR 1,Technology,Electronic Components,Japan,Large Cap
MUR1.F,MURATA MFG,Technology,Electronic Components,Japan,Large Cap
N9B.F,BANDAI NAMCO HOLDINGS INC,Consumer Cyclical,Leisure,Japan,Large Cap
NM5.F,NICKEL INDUSTRIES LTD.,Basic Materials,Other Industrial Metals & Mining,Australia,Small Cap
NNA.F,MAGELLAN FINL GRP,Financial Services,Asset Management,Australia,Small Cap
NSC.F,NISSAN CHEMICAL CORP.,Basic Materials,Chemicals,Japan,Mid Cap
NTO.F,NINTENDO CO. LTD,Communication Services,Electronic Gaming & Multimedia,Japan,Large Cap
NTOA.F,NINTENDO UNS.ADR 1/8/O.N.,Communication Services,Electronic Gaming & Multimedia,Japan,Large Cap
OHP.F,"PERSIMMON PLC  LS-,10",Consumer Cyclical,Residential Construction,United Kingdom,Mid Cap
OHP0.F,PERSIMMON UNSPON. ADR 2,Consumer Cyclical,Residential Construction,United Kingdom,Mid Cap
ON4.F,ONO PHARMACEUT.,Healthcare,Drug Manufacturers—General,Japan,Large Cap
PQX1.F,BIOTAGE AB  SK 1,Healthcare,Medical Instruments & Supplies,Sweden,Small Cap
PU7.F,"PULTE GROUP INC.  DL -,01",Consumer Cyclical,Residential Construction,United States,Large Cap
QPX.F,PAREX RESOURCES INC.,Energy,Oil & Gas E&P,Canada,Mid Cap
S2Z.F,SANDFIRE RESOURCES LTD.,Basic Materials,Copper,Australia,Small Cap
S2Z0.F,SANDFIRE RES.UNSP.ADR/3,Basic Materials,Copper,Australia,Small Cap
SEH.F,SHIN-ETSU CHEM.,Basic Materials,Chemicals,Japan,Large Cap
SHM.F,SHIMANO INC.,Consumer Cyclical,Leisure,Japan,Large Cap
SHM1.F,SHIMANO INC. UNSP.ADR/10,Consumer Cyclical,Leisure,Japan,Large Cap
ST2.F,STURM RUGER CO. INC.  DL1,Industrials,Aerospace & Defense,United States,Small Cap
TF2.F,TAKARA BIO INC.,Healthcare,Biotechnology,Japan,Small Cap
TQR.F,BEIJ.TONG R.T.CHIN.,Healthcare,Pharmaceutical Retailers,Hong Kong,Small Cap
TSFA.F,TAIWAN SEMICON.MANU.ADR/5,Technology,Semiconductors,Taiwan,Large Cap
USJ.F,USANA HEALTH,Consumer Defensive,Packaged Foods,United States,Small Cap
USV.F,USS CO. LTD,Consumer Cyclical,Auto & Truck Dealerships,Japan,Mid Cap
YIR.F,"YIHAI INTER.HLD.DL-,00001",Consumer Defensive,Packaged Foods,China,Mid Cap
ZKH.F,ZENKOKU HOSHO CO. LTD.,Financial Services,Credit Services,Japan,Mid Cap
