Name,Value_Change
Aerospace & Defense,36.69491525423763
Asset Management,143.59703588612047
Australia,37.71826583212885
Basic Materials,282.9949248676089
Building Materials,21.456049252699145
Canada,104.96997853402777
China,888.8738331046409
Communication Services,111.48553030468958
Consumer Cyclical,255.07242430215064
Consumer Defensive,454.46922542543405
Copper,-8.866520703967169
Drug Manufacturersâ€”Specialty & Generic,27.378004992132915
Electrical Equipment & Parts,190.80882352941097
Electronic Gaming & Multimedia,214.3099609447786
Energy,186.5610903446668
Financial Data & Stock Exchanges,20.8333333333335
Financial Services,196.90430636613303
"Furnishings, Fixtures & Appliances",53.19598520866376
Germany,-38.4030418250951
Greece,1.1483441049451955
Healthcare,119.55402270057348
Hong Kong,67.16277239751474
Indonesia,118.18181818181841
Industrials,146.72240658007777
Internet Content & Information,-34.23210174206764
Japan,189.00022842579534
Leisure,291.35604602601353
Medical Instruments & Supplies,67.181480925346
Metal Fabrication,124.48979591836715
Mexico,20.8333333333335
Oil & Gas E&P,55.46218487394927
Other Industrial Metals & Mining,60.220242506962705
Packaged Foods,243.27876190605195
Residential Construction,23.43570091237555
Semiconductor Equipment & Materials,130.79207920792012
Semiconductors,148.5207100591706
Singapore,130.79207920792012
South Africa,48.275862068965836
Specialty Chemicals,-38.4030418250951
Specialty Retail,1.1483441049451955
Steel,461.84697698705065
Sweden,277.4814011600763
Switzerland,207.03764059164212
Taiwan,148.5207100591706
Technology,111.46197063421914
Thermal Coal,113.70751394819575
United Kingdom,-5.895825989299766
United States,148.44127639671623
